HINDI,County,Municipality,Total Electors 2012,Voting Age Estimate 2012,Voter Turnout 2012,Total Electors 2016,Voting Age Estimate 2016,Voter Turnout 2016
33014,LAFAYETTE COUNTY,TOWN OF FAYETTE,172,293,58.70%,177,320,55.31%
33016,LAFAYETTE COUNTY,TOWN OF GRATIOT,286,421,67.93%,281,432,65.05%
33018,LAFAYETTE COUNTY,TOWN OF KENDALL,191,285,67.02%,174,287,60.63%
33020,LAFAYETTE COUNTY,TOWN OF LAMONT,159,212,75.00%,159,213,74.65%
33022,LAFAYETTE COUNTY,TOWN OF MONTICELLO,60,100,60.00%,68,101,67.33%
33024,LAFAYETTE COUNTY,TOWN OF NEW DIGGINGS,252,380,66.32%,238,390,61.03%
33026,LAFAYETTE COUNTY,TOWN OF SEYMOUR,156,295,52.88%,161,297,54.21%
33028,LAFAYETTE COUNTY,TOWN OF SHULLSBURG,179,270,66.30%,160,271,59.04%
33030,LAFAYETTE COUNTY,TOWN OF WAYNE,225,371,60.65%,235,374,62.83%
33032,LAFAYETTE COUNTY,TOWN OF WHITE OAK SPRINGS,60,81,74.07%,63,83,75.90%
33034,LAFAYETTE COUNTY,TOWN OF WILLOW SPRINGS,381,558,68.28%,360,558,64.52%
33036,LAFAYETTE COUNTY,TOWN OF WIOTA,455,689,66.04%,422,689,61.25%
33101,LAFAYETTE COUNTY,VILLAGE OF ARGYLE,409,649,63.02%,358,646,55.42%
33106,LAFAYETTE COUNTY,VILLAGE OF BELMONT,456,761,59.92%,446,769,58.00%
33107,LAFAYETTE COUNTY,VILLAGE OF BENTON,466,727,64.10%,430,726,59.23%
33108,LAFAYETTE COUNTY,VILLAGE OF BLANCHARDVILLE,342,485,70.52%,300,484,61.98%
33131,LAFAYETTE COUNTY,VILLAGE OF GRATIOT,114,178,64.04%,102,177,57.63%
33136,LAFAYETTE COUNTY,VILLAGE OF HAZEL GREEN,7,11,63.64%,10,11,90.91%
33181,LAFAYETTE COUNTY,VILLAGE OF SOUTH WAYNE,193,359,53.76%,198,361,54.85%
34201,LANGLADE COUNTY,CITY OF ANTIGO,"3,595","6,254",57.48%,"3,386","6,336",53.44%
34002,LANGLADE COUNTY,TOWN OF ACKLEY,286,413,69.25%,283,418,67.70%
34004,LANGLADE COUNTY,TOWN OF AINSWORTH,294,401,73.32%,278,399,69.67%
34006,LANGLADE COUNTY,TOWN OF ANTIGO,832,"1,129",73.69%,797,"1,134",70.28%
34008,LANGLADE COUNTY,TOWN OF ELCHO,799,"1,030",77.57%,769,"1,047",73.45%
34010,LANGLADE COUNTY,TOWN OF EVERGREEN,282,420,67.14%,277,434,63.82%
34012,LANGLADE COUNTY,TOWN OF LANGLADE,284,397,71.54%,281,403,69.73%
34014,LANGLADE COUNTY,TOWN OF NEVA,537,712,75.42%,505,718,70.33%
34016,LANGLADE COUNTY,TOWN OF NORWOOD,526,709,74.19%,536,708,75.71%
34018,LANGLADE COUNTY,TOWN OF PARRISH,62,79,78.48%,57,78,73.08%
34020,LANGLADE COUNTY,TOWN OF PECK,187,284,65.85%,191,295,64.75%
34022,LANGLADE COUNTY,TOWN OF POLAR,618,764,80.89%,576,776,74.23%
34024,LANGLADE COUNTY,TOWN OF PRICE,128,179,71.51%,134,176,76.14%
34026,LANGLADE COUNTY,TOWN OF ROLLING,812,"1,156",70.24%,738,"1,173",62.92%
34028,LANGLADE COUNTY,TOWN OF SUMMIT,98,131,74.81%,98,129,75.97%
34030,LANGLADE COUNTY,TOWN OF UPHAM,493,585,84.27%,495,592,83.61%
34032,LANGLADE COUNTY,TOWN OF VILAS,134,178,75.28%,128,173,73.99%
34034,LANGLADE COUNTY,TOWN OF WOLF RIVER,463,663,69.83%,453,685,66.13%
34191,LANGLADE COUNTY,VILLAGE OF WHITE LAKE,175,273,64.10%,150,273,54.95%
35251,LINCOLN COUNTY,CITY OF MERRILL,"4,396","7,349",59.82%,"4,051","7,321",55.33%
35286,LINCOLN COUNTY,CITY OF TOMAHAWK,"1,666","2,666",62.49%,"1,615","2,642",61.13%
35002,LINCOLN COUNTY,TOWN OF BIRCH,246,451,54.55%,247,426,57.98%
35004,LINCOLN COUNTY,TOWN OF BRADLEY,"1,545","2,019",76.52%,"1,459","2,061",70.79%
35006,LINCOLN COUNTY,TOWN OF CORNING,447,660,67.73%,460,665,69.17%
35008,LINCOLN COUNTY,TOWN OF HARDING,236,283,83.39%,244,290,84.14%
35010,LINCOLN COUNTY,TOWN OF HARRISON,545,681,80.03%,549,689,79.68%
35012,LINCOLN COUNTY,TOWN OF KING,598,713,83.87%,610,736,82.88%
35014,LINCOLN COUNTY,TOWN OF MERRILL,"1,639","2,364",69.33%,"1,628","2,391",68.09%
35016,LINCOLN COUNTY,TOWN OF PINE RIVER,"1,115","1,488",74.93%,"1,091","1,511",72.20%
35018,LINCOLN COUNTY,TOWN OF ROCK FALLS,378,517,73.11%,364,535,68.04%
35020,LINCOLN COUNTY,TOWN OF RUSSELL,347,516,67.25%,305,519,58.77%
35022,LINCOLN COUNTY,TOWN OF SCHLEY,475,733,64.80%,475,734,64.71%
35024,LINCOLN COUNTY,TOWN OF SCOTT,804,"1,112",72.30%,806,"1,113",72.42%
35026,LINCOLN COUNTY,TOWN OF SKANAWAN,276,336,82.14%,248,341,72.73%
35028,LINCOLN COUNTY,TOWN OF SOMO,77,97,79.38%,69,101,68.32%
35030,LINCOLN COUNTY,TOWN OF TOMAHAWK,257,366,70.22%,284,377,75.33%
35032,LINCOLN COUNTY,TOWN OF WILSON,202,259,77.99%,201,260,77.31%
36241,MANITOWOC COUNTY,CITY OF KIEL,"1,899","2,518",75.42%,"1,858","2,552",72.81%
36251,MANITOWOC COUNTY,CITY OF MANITOWOC,"16,772","26,368",63.61%,"15,144","26,559",57.02%
36286,MANITOWOC COUNTY,CITY OF TWO RIVERS,"5,779","9,193",62.86%,"5,309","9,169",57.90%
36002,MANITOWOC COUNTY,TOWN OF CATO,955,"1,212",78.80%,899,"1,230",73.09%
36004,MANITOWOC COUNTY,TOWN OF CENTERVILLE,381,500,76.20%,370,502,73.71%
36006,MANITOWOC COUNTY,TOWN OF COOPERSTOWN,769,"1,022",75.24%,736,"1,030",71.46%
36008,MANITOWOC COUNTY,TOWN OF EATON,485,628,77.23%,474,634,74.76%
36010,MANITOWOC COUNTY,TOWN OF FRANKLIN,708,"1,000",70.80%,668,"1,004",66.53%
36012,MANITOWOC COUNTY,TOWN OF GIBSON,757,"1,062",71.28%,757,"1,059",71.48%
36014,MANITOWOC COUNTY,TOWN OF KOSSUTH,"1,206","1,681",71.74%,"1,178","1,685",69.91%
36016,MANITOWOC COUNTY,TOWN OF LIBERTY,752,976,77.05%,728,986,73.83%
36018,MANITOWOC COUNTY,TOWN OF MANITOWOC,607,872,69.61%,588,883,66.59%
36020,MANITOWOC COUNTY,TOWN OF MANITOWOC RAPIDS,"1,532","1,735",88.30%,"1,424","1,751",81.32%
36022,MANITOWOC COUNTY,TOWN OF MAPLE GROVE,449,616,72.89%,447,619,72.21%
36024,MANITOWOC COUNTY,TOWN OF MEEME,865,"1,147",75.41%,853,"1,160",73.53%
36026,MANITOWOC COUNTY,TOWN OF MISHICOT,694,981,70.74%,689,993,69.39%
36028,MANITOWOC COUNTY,TOWN OF NEWTON,"1,353","1,773",76.31%,"1,304","1,800",72.44%
36030,MANITOWOC COUNTY,TOWN OF ROCKLAND,533,746,71.45%,530,752,70.48%
36032,MANITOWOC COUNTY,TOWN OF SCHLESWIG,"1,217","1,556",78.21%,"1,143","1,573",72.66%
36034,MANITOWOC COUNTY,TOWN OF TWO CREEKS,247,328,75.30%,230,327,70.34%
36036,MANITOWOC COUNTY,TOWN OF TWO RIVERS,"1,049","1,479",70.93%,993,"1,481",67.05%
36112,MANITOWOC COUNTY,VILLAGE OF CLEVELAND,776,"1,126",68.92%,784,"1,134",69.14%
36126,MANITOWOC COUNTY,VILLAGE OF FRANCIS CREEK,395,522,75.67%,356,520,68.46%
36132,MANITOWOC COUNTY,VILLAGE OF KELLNERSVILLE,172,279,61.65%,170,280,60.71%
36147,MANITOWOC COUNTY,VILLAGE OF MARIBEL,185,266,69.55%,174,263,66.16%
36151,MANITOWOC COUNTY,VILLAGE OF MISHICOT,781,"1,135",68.81%,737,"1,144",64.42%
36176,MANITOWOC COUNTY,VILLAGE OF REEDSVILLE,585,879,66.55%,552,883,62.51%
36181,MANITOWOC COUNTY,VILLAGE OF ST. NAZIANZ,364,608,59.87%,350,606,57.76%
36186,MANITOWOC COUNTY,VILLAGE OF VALDERS,508,713,71.25%,517,715,72.31%
36191,MANITOWOC COUNTY,VILLAGE OF WHITELAW,428,578,74.05%,384,575,66.78%
37201,MARATHON COUNTY,CITY OF ABBOTSFORD,284,517,54.93%,148,511,28.96%
37211,MARATHON COUNTY,CITY OF COLBY,228,375,60.80%,233,378,61.64%
37250,MARATHON COUNTY,CITY OF MARSHFIELD,361,755,47.81%,413,815,50.67%
37251,MARATHON COUNTY,CITY OF MOSINEE,"2,218","3,005",73.81%,"2,262","3,042",74.36%
37281,MARATHON COUNTY,CITY OF SCHOFIELD,"1,143","1,702",67.16%,"1,128","1,744",64.68%
37291,MARATHON COUNTY,CITY OF WAUSAU,"18,643","30,074",61.99%,"17,786","30,069",59.15%
37002,MARATHON COUNTY,TOWN OF BERGEN,418,503,83.10%,436,505,86.34%
37004,MARATHON COUNTY,TOWN OF BERLIN,555,733,75.72%,532,735,72.38%
37006,MARATHON COUNTY,TOWN OF BERN,220,415,53.01%,225,422,53.32%
37008,MARATHON COUNTY,TOWN OF BEVENT,629,898,70.04%,615,901,68.26%
37010,MARATHON COUNTY,TOWN OF BRIGHTON,248,438,56.62%,248,440,56.36%
37012,MARATHON COUNTY,TOWN OF CASSEL,533,668,79.79%,541,681,79.44%
37014,MARATHON COUNTY,TOWN OF CLEVELAND,729,"1,063",68.58%,778,"1,080",72.04%
37016,MARATHON COUNTY,TOWN OF DAY,585,820,71.34%,602,825,72.97%
37018,MARATHON COUNTY,TOWN OF EASTON,682,867,78.66%,704,878,80.18%
37020,MARATHON COUNTY,TOWN OF EAU PLEINE,394,580,67.93%,387,578,66.96%
37022,MARATHON COUNTY,TOWN OF ELDERON,336,482,69.71%,348,149,233.56%
37024,MARATHON COUNTY,TOWN OF EMMET,506,696,72.70%,525,704,74.57%
37026,MARATHON COUNTY,TOWN OF FRANKFORT,322,487,66.12%,301,484,62.19%
37028,MARATHON COUNTY,TOWN OF FRANZEN,285,445,64.04%,302,450,67.11%
37030,MARATHON COUNTY,TOWN OF GREEN VALLEY,325,427,76.11%,326,435,74.94%
37032,MARATHON COUNTY,TOWN OF GUENTHER,207,266,77.82%,214,266,80.45%
37034,MARATHON COUNTY,TOWN OF HALSEY,290,439,66.06%,264,450,58.67%
37036,MARATHON COUNTY,TOWN OF HAMBURG,439,676,64.94%,437,687,63.61%
37038,MARATHON COUNTY,TOWN OF HARRISON,189,291,64.95%,182,288,63.19%
37040,MARATHON COUNTY,TOWN OF HEWITT,345,484,71.28%,345,497,69.42%
37042,MARATHON COUNTY,TOWN OF HOLTON,385,637,60.44%,400,644,62.11%
37044,MARATHON COUNTY,TOWN OF HULL,302,520,58.08%,312,519,60.12%
37046,MARATHON COUNTY,TOWN OF JOHNSON,382,657,58.14%,368,660,55.76%
37048,MARATHON COUNTY,TOWN OF KNOWLTON,"1,120","1,492",75.07%,"1,142","1,520",75.13%
37052,MARATHON COUNTY,TOWN OF MAINE,,,#DIV/0!,,,#DIV/0!
37054,MARATHON COUNTY,TOWN OF MARATHON,644,829,77.68%,603,837,72.04%
37056,MARATHON COUNTY,TOWN OF MCMILLAN,"1,181","1,494",79.05%,"1,188","1,523",78.00%
37058,MARATHON COUNTY,TOWN OF MOSINEE,"1,217","1,657",73.45%,"1,262","1,681",75.07%
37060,MARATHON COUNTY,TOWN OF NORRIE,523,747,70.01%,533,760,70.13%
37062,MARATHON COUNTY,TOWN OF PLOVER,337,503,67.00%,352,504,69.84%
37064,MARATHON COUNTY,TOWN OF REID,665,978,68.00%,687,"1,001",68.63%
37066,MARATHON COUNTY,TOWN OF RIB FALLS,568,723,78.56%,559,734,76.16%
37068,MARATHON COUNTY,TOWN OF RIB MOUNTAIN,"4,454","5,286",84.26%,"4,387","5,382",81.51%
37070,MARATHON COUNTY,TOWN OF RIETBROCK,478,708,67.51%,487,717,67.92%
37072,MARATHON COUNTY,TOWN OF RINGLE,"1,039","1,303",79.74%,"1,040","1,314",79.15%
37074,MARATHON COUNTY,TOWN OF SPENCER,751,"1,138",65.99%,802,"1,170",68.55%
37076,MARATHON COUNTY,TOWN OF STETTIN,"1,524","1,963",77.64%,"1,492","1,980",75.35%
37078,MARATHON COUNTY,TOWN OF TEXAS,"1,001","1,318",75.95%,993,"1,323",75.06%
37080,MARATHON COUNTY,TOWN OF WAUSAU,"1,326","1,793",73.95%,"1,307","1,892",69.08%
37082,MARATHON COUNTY,TOWN OF WESTON,338,489,69.12%,329,500,65.80%
37084,MARATHON COUNTY,TOWN OF WIEN,401,589,68.08%,415,605,68.60%
37102,MARATHON COUNTY,VILLAGE OF ATHENS,525,836,62.80%,544,839,64.84%
37104,MARATHON COUNTY,VILLAGE OF BIRNAMWOOD,12,12,100.00%,11,15,73.33%
37106,MARATHON COUNTY,VILLAGE OF BROKAW,144,211,68.25%,138,210,65.71%
37116,MARATHON COUNTY,VILLAGE OF DORCHESTER,3,2,150.00%,1,2,50.00%
37121,MARATHON COUNTY,VILLAGE OF EDGAR,781,"1,072",72.85%,750,"1,073",69.90%
37122,MARATHON COUNTY,VILLAGE OF ELDERON,79,150,52.67%,94,149,63.09%
37126,MARATHON COUNTY,VILLAGE OF FENWOOD,84,120,70.00%,82,119,68.91%
37136,MARATHON COUNTY,VILLAGE OF HATLEY,279,436,63.99%,299,451,66.30%
37145,MARATHON COUNTY,VILLAGE OF KRONENWETTER,"3,944","5,335",73.93%,"4,114","5,568",73.89%
37146,MARATHON COUNTY,VILLAGE OF MAINE,"1,442","1,816",79.41%,"1,463","1,827",80.08%
37151,MARATHON COUNTY,VILLAGE OF MARATHON CITY,853,"1,180",72.29%,851,"1,218",69.87%
37176,MARATHON COUNTY,VILLAGE OF ROTHSCHILD,"3,043","4,113",73.98%,"2,948","4,177",70.58%
37181,MARATHON COUNTY,VILLAGE OF SPENCER,900,"1,461",61.60%,902,"1,473",61.24%
37182,MARATHON COUNTY,VILLAGE OF STRATFORD,771,"1,166",66.12%,810,"1,181",68.59%
37186,MARATHON COUNTY,VILLAGE OF UNITY,111,153,72.55%,107,154,69.48%
37192,MARATHON COUNTY,VILLAGE OF WESTON,"7,405","10,979",67.45%,"4,692","11,258",41.68%
38251,MARINETTE COUNTY,CITY OF MARINETTE,"4,802","8,524",56.34%,"4,164","8,538",48.77%
38261,MARINETTE COUNTY,CITY OF NIAGARA,753,"1,227",61.37%,708,"1,223",57.89%
38271,MARINETTE COUNTY,CITY OF PESHTIGO,"1,501","2,706",55.47%,"1,479","2,675",55.29%
38002,MARINETTE COUNTY,TOWN OF AMBERG,429,621,69.08%,456,631,72.27%
38004,MARINETTE COUNTY,TOWN OF ATHELSTANE,339,443,76.52%,320,446,71.75%
38006,MARINETTE COUNTY,TOWN OF BEAVER,611,921,66.34%,600,943,63.63%
38008,MARINETTE COUNTY,TOWN OF BEECHER,390,591,65.99%,407,603,67.50%
38010,MARINETTE COUNTY,TOWN OF DUNBAR,570,892,63.90%,285,565,50.44%
38012,MARINETTE COUNTY,TOWN OF GOODMAN,325,532,61.09%,340,541,62.85%
38014,MARINETTE COUNTY,TOWN OF GROVER,857,"1,392",61.57%,912,"1,416",64.41%
38016,MARINETTE COUNTY,TOWN OF LAKE,596,923,64.57%,656,938,69.94%
38018,MARINETTE COUNTY,TOWN OF MIDDLE INLET,459,691,66.43%,446,692,64.45%
38020,MARINETTE COUNTY,TOWN OF NIAGARA,513,701,73.18%,499,717,69.60%
38022,MARINETTE COUNTY,TOWN OF PEMBINE,474,724,65.47%,429,725,59.17%
38024,MARINETTE COUNTY,TOWN OF PESHTIGO,"2,253","3,201",70.38%,"2,258","3,254",69.39%
38026,MARINETTE COUNTY,TOWN OF PORTERFIELD,"1,013","1,581",64.07%,"1,053","1,607",65.53%
38028,MARINETTE COUNTY,TOWN OF POUND,700,"1,087",64.40%,676,"1,088",62.13%
38030,MARINETTE COUNTY,TOWN OF SILVER CLIFF,328,409,80.20%,327,421,77.67%
38032,MARINETTE COUNTY,TOWN OF STEPHENSON,"1,793","2,620",68.44%,"1,856","2,658",69.83%
38034,MARINETTE COUNTY,TOWN OF WAGNER,369,567,65.08%,390,579,67.36%
38036,MARINETTE COUNTY,TOWN OF WAUSAUKEE,614,862,71.23%,625,895,69.83%
38111,MARINETTE COUNTY,VILLAGE OF COLEMAN,353,555,63.60%,344,560,61.43%
38121,MARINETTE COUNTY,VILLAGE OF CRIVITZ,490,798,61.40%,457,786,58.14%
38171,MARINETTE COUNTY,VILLAGE OF POUND,166,282,58.87%,152,285,53.33%
38191,MARINETTE COUNTY,VILLAGE OF WAUSAUKEE,204,444,45.95%,207,443,46.73%
39251,MARQUETTE COUNTY,CITY OF MONTELLO,694,"1,174",59.11%,670,"1,163",57.61%
39002,MARQUETTE COUNTY,TOWN OF BUFFALO,583,913,63.86%,580,932,62.23%
39004,MARQUETTE COUNTY,TOWN OF CRYSTAL LAKE,311,433,71.82%,302,442,68.33%
39006,MARQUETTE COUNTY,TOWN OF DOUGLAS,521,599,86.98%,486,608,79.93%
39008,MARQUETTE COUNTY,TOWN OF HARRIS,488,653,74.73%,484,660,73.33%
39010,MARQUETTE COUNTY,TOWN OF MECAN,382,593,64.42%,378,597,63.32%
39012,MARQUETTE COUNTY,TOWN OF MONTELLO,635,853,74.44%,595,864,68.87%
39014,MARQUETTE COUNTY,TOWN OF MOUNDVILLE,259,418,61.96%,257,435,59.08%
39016,MARQUETTE COUNTY,TOWN OF NESHKORO,345,477,72.33%,334,475,70.32%
39018,MARQUETTE COUNTY,TOWN OF NEWTON,251,434,57.83%,243,437,55.61%
39020,MARQUETTE COUNTY,TOWN OF OXFORD,509,732,69.54%,480,740,64.86%
39022,MARQUETTE COUNTY,TOWN OF PACKWAUKEE,709,"1,180",60.08%,705,"1,190",59.24%
39024,MARQUETTE COUNTY,TOWN OF SHIELDS,334,472,70.76%,321,471,68.15%
39026,MARQUETTE COUNTY,TOWN OF SPRINGFIELD,438,685,63.94%,462,691,66.86%
39028,MARQUETTE COUNTY,TOWN OF WESTFIELD,454,689,65.89%,449,701,64.05%
39121,MARQUETTE COUNTY,VILLAGE OF ENDEAVOR,218,339,64.31%,184,338,54.44%
39161,MARQUETTE COUNTY,VILLAGE OF NESHKORO,216,353,61.19%,198,350,56.57%
39165,MARQUETTE COUNTY,VILLAGE OF OXFORD,258,453,56.95%,255,450,56.67%
39191,MARQUETTE COUNTY,VILLAGE OF WESTFIELD,546,915,59.67%,510,923,55.25%
40001,MENOMINEE COUNTY,TOWN OF MENOMINEE,"1,387","2,853",48.62%,"1,279","2,900",44.10%
41211,MILWAUKEE COUNTY,CITY OF CUDAHY,"9,993","14,394",69.42%,"9,024","14,441",62.49%
41226,MILWAUKEE COUNTY,CITY OF FRANKLIN,"20,282","27,974",72.50%,"19,770","28,324",69.80%
41231,MILWAUKEE COUNTY,CITY OF GLENDALE,"8,741","10,457",83.59%,"8,066","10,453",77.16%
41236,MILWAUKEE COUNTY,CITY OF GREENFIELD,"20,597","30,415",67.72%,"19,264","30,326",63.52%
41251,MILWAUKEE COUNTY,CITY OF MILWAUKEE,"287,350","435,786",65.94%,"246,201","437,958",56.22%
41265,MILWAUKEE COUNTY,CITY OF OAK CREEK,"18,793","26,493",70.94%,"17,783","27,181",65.42%
41282,MILWAUKEE COUNTY,CITY OF SOUTH MILWAUKEE,"11,064","16,565",66.79%,"10,286","16,645",61.80%
41281,MILWAUKEE COUNTY,CITY OF ST. FRANCIS,"5,406","7,982",67.73%,"5,051","8,037",62.85%
41291,MILWAUKEE COUNTY,CITY OF WAUWATOSA,"30,250","36,326",83.27%,"28,675","37,217",77.05%
41292,MILWAUKEE COUNTY,CITY OF WEST ALLIS,"31,814","48,121",66.11%,"28,702","48,313",59.41%
41106,MILWAUKEE COUNTY,VILLAGE OF BAYSIDE,"2,874","3,293",87.28%,"2,849","3,301",86.31%
41107,MILWAUKEE COUNTY,VILLAGE OF BROWN DEER,"7,397","9,587",77.16%,"7,185","9,839",73.03%
41126,MILWAUKEE COUNTY,VILLAGE OF FOX POINT,"4,645","5,149",90.21%,"4,488","5,208",86.18%
41131,MILWAUKEE COUNTY,VILLAGE OF GREENDALE,"9,164","11,050",82.93%,"6,736","11,120",60.58%
41136,MILWAUKEE COUNTY,VILLAGE OF HALES CORNERS,"4,759","6,109",77.90%,"4,397","6,123",71.81%
41176,MILWAUKEE COUNTY,VILLAGE OF RIVER HILLS,"1,194","1,214",98.35%,"1,146","1,211",94.63%
41181,MILWAUKEE COUNTY,VILLAGE OF SHOREWOOD,"8,864","10,690",82.92%,"8,485","10,724",79.12%
41191,MILWAUKEE COUNTY,VILLAGE OF WEST MILWAUKEE,"1,755","3,276",53.57%,"1,611","3,282",49.09%
41192,MILWAUKEE COUNTY,VILLAGE OF WHITEFISH BAY,"9,338","9,972",93.64%,"8,978","10,114",88.77%
42281,MONROE COUNTY,CITY OF SPARTA,"3,882","7,266",53.43%,"3,792","7,439",50.97%
42286,MONROE COUNTY,CITY OF TOMAH,"3,857","6,916",55.77%,"3,879","7,090",54.71%
42002,MONROE COUNTY,TOWN OF ADRIAN,416,594,70.03%,416,616,67.53%
42004,MONROE COUNTY,TOWN OF ANGELO,588,983,59.82%,619,"1,004",61.65%
42006,MONROE COUNTY,TOWN OF BYRON,587,"1,037",56.61%,600,"1,055",56.87%
42008,MONROE COUNTY,TOWN OF CLIFTON,226,420,53.81%,223,425,52.47%
42010,MONROE COUNTY,TOWN OF GLENDALE,318,518,61.39%,303,531,57.06%
42012,MONROE COUNTY,TOWN OF GRANT,223,401,55.61%,243,405,60.00%
42014,MONROE COUNTY,TOWN OF GREENFIELD,392,549,71.40%,392,554,70.76%
42016,MONROE COUNTY,TOWN OF JEFFERSON,280,518,54.05%,287,544,52.76%
42020,MONROE COUNTY,TOWN OF LA GRANGE,"1,055","1,508",69.96%,"1,044","1,516",68.87%
42018,MONROE COUNTY,TOWN OF LAFAYETTE,160,330,48.48%,178,463,38.44%
42022,MONROE COUNTY,TOWN OF LEON,592,831,71.24%,593,849,69.85%
42024,MONROE COUNTY,TOWN OF LINCOLN,433,631,68.62%,437,644,67.86%
42026,MONROE COUNTY,TOWN OF LITTLE FALLS,700,"1,155",60.61%,698,"1,187",58.80%
42028,MONROE COUNTY,TOWN OF NEW LYME,91,134,67.91%,99,136,72.79%
42030,MONROE COUNTY,TOWN OF OAKDALE,347,577,60.14%,378,587,64.40%
42032,MONROE COUNTY,TOWN OF PORTLAND,377,567,66.49%,397,579,68.57%
42034,MONROE COUNTY,TOWN OF RIDGEVILLE,256,369,69.38%,251,385,65.19%
42036,MONROE COUNTY,TOWN OF SCOTT,56,109,51.38%,46,107,42.99%
42038,MONROE COUNTY,TOWN OF SHELDON,224,441,50.79%,216,452,47.79%
42040,MONROE COUNTY,TOWN OF SPARTA,"1,585","2,411",65.74%,"1,561","2,449",63.74%
42042,MONROE COUNTY,TOWN OF TOMAH,709,"1,065",66.57%,736,"1,086",67.77%
42044,MONROE COUNTY,TOWN OF WELLINGTON,265,450,58.89%,252,467,53.96%
42046,MONROE COUNTY,TOWN OF WELLS,276,396,69.70%,275,409,67.24%
42048,MONROE COUNTY,TOWN OF WILTON,248,617,40.19%,242,632,38.29%
42111,MONROE COUNTY,VILLAGE OF CASHTON,480,792,60.61%,447,800,55.88%
42141,MONROE COUNTY,VILLAGE OF KENDALL,195,364,53.57%,201,364,55.22%
42151,MONROE COUNTY,VILLAGE OF MELVINA,31,69,44.93%,38,70,54.29%
42161,MONROE COUNTY,VILLAGE OF NORWALK,214,447,47.87%,208,451,46.12%
42165,MONROE COUNTY,VILLAGE OF OAKDALE,113,221,51.13%,116,221,52.49%
42185,MONROE COUNTY,VILLAGE OF WARRENS,205,269,76.21%,215,269,79.93%
42191,MONROE COUNTY,VILLAGE OF WILTON,222,358,62.01%,228,359,63.51%
42192,MONROE COUNTY,VILLAGE OF WYEVILLE,58,116,50.00%,60,112,53.57%
43231,OCONTO COUNTY,CITY OF GILLETT,605,"1,065",56.81%,567,"1,063",53.34%
43265,OCONTO COUNTY,CITY OF OCONTO,"2,012","3,490",57.65%,"2,006","3,501",57.30%
43266,OCONTO COUNTY,CITY OF OCONTO FALLS,"1,239","2,187",56.65%,"1,229","2,189",56.14%
43002,OCONTO COUNTY,TOWN OF ABRAMS,"1,071","1,436",74.58%,"1,018","1,470",69.25%
43006,OCONTO COUNTY,TOWN OF BAGLEY,164,242,67.77%,179,240,74.58%
43008,OCONTO COUNTY,TOWN OF BRAZEAU,797,"1,071",74.42%,803,"1,085",74.01%
43010,OCONTO COUNTY,TOWN OF BREED,378,588,64.29%,368,602,61.13%
43012,OCONTO COUNTY,TOWN OF CHASE,"1,596","2,091",76.33%,"1,585","2,147",73.82%
43014,OCONTO COUNTY,TOWN OF DOTY,197,245,80.41%,204,247,82.59%
43016,OCONTO COUNTY,TOWN OF GILLETT,560,821,68.21%,552,815,67.73%
43018,OCONTO COUNTY,TOWN OF HOW,328,415,79.04%,316,429,73.66%
43019,OCONTO COUNTY,TOWN OF LAKEWOOD,576,720,80.00%,574,733,78.31%
43020,OCONTO COUNTY,TOWN OF LENA,370,573,64.57%,378,572,66.08%
43022,OCONTO COUNTY,TOWN OF LITTLE RIVER,564,845,66.75%,549,864,63.54%
43024,OCONTO COUNTY,TOWN OF LITTLE SUAMICO,"2,729","3,640",74.97%,"2,788","3,786",73.64%
43026,OCONTO COUNTY,TOWN OF MAPLE VALLEY,388,547,70.93%,364,552,65.94%
43028,OCONTO COUNTY,TOWN OF MORGAN,579,779,74.33%,564,793,71.12%
43029,OCONTO COUNTY,TOWN OF MOUNTAIN,465,710,65.49%,462,715,64.62%
43030,OCONTO COUNTY,TOWN OF OCONTO,750,"1,033",72.60%,742,"1,050",70.67%
43032,OCONTO COUNTY,TOWN OF OCONTO FALLS,671,988,67.91%,655,999,65.57%
43034,OCONTO COUNTY,TOWN OF PENSAUKEE,758,"1,101",68.85%,768,"1,117",68.76%
43036,OCONTO COUNTY,TOWN OF RIVERVIEW,512,663,77.22%,496,673,73.70%
43038,OCONTO COUNTY,TOWN OF SPRUCE,451,662,68.13%,454,673,67.46%
43040,OCONTO COUNTY,TOWN OF STILES,803,"1,173",68.46%,810,"1,202",67.39%
43042,OCONTO COUNTY,TOWN OF TOWNSEND,669,873,76.63%,670,884,75.79%
43044,OCONTO COUNTY,TOWN OF UNDERHILL,429,683,62.81%,416,706,58.92%
43146,OCONTO COUNTY,VILLAGE OF LENA,251,432,58.10%,254,435,58.39%
43171,OCONTO COUNTY,VILLAGE OF PULASKI,0,0,,0,0,
43181,OCONTO COUNTY,VILLAGE OF SURING,230,411,55.96%,207,408,50.74%
44276,ONEIDA COUNTY,CITY OF RHINELANDER,"3,564","6,132",58.12%,"3,339","6,100",54.74%
44002,ONEIDA COUNTY,TOWN OF CASSIAN,705,847,83.23%,682,860,79.30%
44004,ONEIDA COUNTY,TOWN OF CRESCENT,"1,334","1,665",80.12%,"1,288","1,696",75.94%
44006,ONEIDA COUNTY,TOWN OF ENTERPRISE,240,282,85.11%,230,283,81.27%
44008,ONEIDA COUNTY,TOWN OF HAZELHURST,828,"1,038",79.77%,841,"1,052",79.94%
